Testing SD card write operations: 2022-06-09 16:54:45
2022-06-09 17:33:30: {'ssid':'O23', 'bssid':'8f23018bf5723b611efae0cb4e6ee9b744c3ce9f79d8809ea384daf5', 'sec':0, 'channel':1, 'rssi':-75}
2022-06-09 17:33:30: {'ssid':'O23-interne', 'bssid':'c4a9ded892612c8b5f121e54458e390061839e50149c6a81a6b24921', 'sec':5, 'channel':1, 'rssi':-75}
2022-06-09 17:33:30: {'ssid':'O21', 'bssid':'e41b8ece0280ee6b16e0d2cdaed938377fc1758409bde343fd305fb8', 'sec':0, 'channel':11, 'rssi':-75}
2022-06-09 17:33:30: {'ssid':'O22', 'bssid':'700e59ef722e1421046be38fd893a53cbb86be8a5a1604558274b9b7', 'sec':5, 'channel':11, 'rssi':-76}
2022-06-09 17:33:30: {'ssid':'O23', 'bssid':'80b0f72033122ef0e6ffad93f36d3dbafb36840f6d21dc2c485a288c', 'sec':0, 'channel':11, 'rssi':-76}
2022-06-09 17:33:30: {'ssid':'O23-interne', 'bssid':'7415c3f0b888b0ceb0b77d2f4ed89f761090d83b5ca6353d74a5d52c', 'sec':5, 'channel':11, 'rssi':-76}
2022-06-09 17:33:30: {'ssid':'O22', 'bssid':'bcff0d0aea46e20a6b4d08a665418ff68a837dd446399689ee42a169', 'sec':5, 'channel':6, 'rssi':-78}
2022-06-09 17:33:30: {'ssid':'O21', 'bssid':'7fd57896faa07c8248f5b1fef5f143c0d0ed48e6b9e665787d9377f0', 'sec':0, 'channel':6, 'rssi':-78}
2022-06-09 17:33:30: {'ssid':'O23', 'bssid':'3377110518ddc3d14851baaac2042c1e3f3a29f228f08fdc154ee32b', 'sec':0, 'channel':6, 'rssi':-78}
2022-06-09 17:33:30: {'ssid':'O26', 'bssid':'68d1dab78af16d01929bb2e5e6b870f95e3c8fc3a0ddee297a26abf6', 'sec':3, 'channel':4, 'rssi':-82}
2022-06-09 17:33:32: {'ssid':'O22', 'bssid':'be9dab4237cee3fb190255ec04c3d59e92fd18d80d602169b72a3e33', 'sec':5, 'channel':1, 'rssi':-71}
2022-06-09 17:33:32: {'ssid':'O21', 'bssid':'497b7aeeecb607eeddf87aa31d3c2857226e939af544b3800758b83a', 'sec':0, 'channel':1, 'rssi':-71}
2022-06-09 17:33:32: {'ssid':'O25', 'bssid':'35e280e74cbe65abc1687cc105a810857335f037d8b38e52487feda0', 'sec':4, 'channel':1, 'rssi':-72}
2022-06-09 17:33:32: {'ssid':'O23', 'bssid':'8f23018bf5723b611efae0cb4e6ee9b744c3ce9f79d8809ea384daf5', 'sec':0, 'channel':1, 'rssi':-72}
2022-06-09 17:33:32: {'ssid':'O23', 'bssid':'80b0f72033122ef0e6ffad93f36d3dbafb36840f6d21dc2c485a288c', 'sec':0, 'channel':11, 'rssi':-80}
2022-06-09 17:33:32: {'ssid':'O23-interne', 'bssid':'7415c3f0b888b0ceb0b77d2f4ed89f761090d83b5ca6353d74a5d52c', 'sec':5, 'channel':11, 'rssi':-80}
2022-06-09 17:33:32: {'ssid':'O22', 'bssid':'700e59ef722e1421046be38fd893a53cbb86be8a5a1604558274b9b7', 'sec':5, 'channel':11, 'rssi':-81}
2022-06-09 17:33:32: {'ssid':'O21', 'bssid':'e41b8ece0280ee6b16e0d2cdaed938377fc1758409bde343fd305fb8', 'sec':0, 'channel':11, 'rssi':-82}
2022-06-09 17:33:32: {'ssid':'O26', 'bssid':'68d1dab78af16d01929bb2e5e6b870f95e3c8fc3a0ddee297a26abf6', 'sec':3, 'channel':4, 'rssi':-83}
2022-06-09 17:33:34: {'ssid':'O22', 'bssid':'be9dab4237cee3fb190255ec04c3d59e92fd18d80d602169b72a3e33', 'sec':5, 'channel':1, 'rssi':-76}
2022-06-09 17:33:34: {'ssid':'O23', 'bssid':'8f23018bf5723b611efae0cb4e6ee9b744c3ce9f79d8809ea384daf5', 'sec':0, 'channel':1, 'rssi':-76}
2022-06-09 17:33:34: {'ssid':'O21', 'bssid':'497b7aeeecb607eeddf87aa31d3c2857226e939af544b3800758b83a', 'sec':0, 'channel':1, 'rssi':-77}
2022-06-09 17:33:34: {'ssid':'O23-interne', 'bssid':'5a0578f09926d4dd5cfc5f20475591cab06228768667191610f71703', 'sec':5, 'channel':6, 'rssi':-80}
2022-06-09 17:33:34: {'ssid':'O22', 'bssid':'bcff0d0aea46e20a6b4d08a665418ff68a837dd446399689ee42a169', 'sec':5, 'channel':6, 'rssi':-81}
2022-06-09 17:33:34: {'ssid':'O21', 'bssid':'7fd57896faa07c8248f5b1fef5f143c0d0ed48e6b9e665787d9377f0', 'sec':0, 'channel':6, 'rssi':-81}
2022-06-09 17:33:34: {'ssid':'O23', 'bssid':'3377110518ddc3d14851baaac2042c1e3f3a29f228f08fdc154ee32b', 'sec':0, 'channel':6, 'rssi':-81}
2022-06-09 17:33:34: {'ssid':'O23-interne', 'bssid':'7415c3f0b888b0ceb0b77d2f4ed89f761090d83b5ca6353d74a5d52c', 'sec':5, 'channel':11, 'rssi':-81}
2022-06-09 17:33:34: {'ssid':'O21', 'bssid':'e41b8ece0280ee6b16e0d2cdaed938377fc1758409bde343fd305fb8', 'sec':0, 'channel':11, 'rssi':-82}
2022-06-09 17:33:34: {'ssid':'O22', 'bssid':'700e59ef722e1421046be38fd893a53cbb86be8a5a1604558274b9b7', 'sec':5, 'channel':11, 'rssi':-83}
2022-06-09 17:33:34: {'ssid':'O23', 'bssid':'80b0f72033122ef0e6ffad93f36d3dbafb36840f6d21dc2c485a288c', 'sec':0, 'channel':11, 'rssi':-83}
2022-06-09 17:33:34: {'ssid':'O26', 'bssid':'68d1dab78af16d01929bb2e5e6b870f95e3c8fc3a0ddee297a26abf6', 'sec':3, 'channel':4, 'rssi':-85}
2022-06-09 17:33:36: {'ssid':'O25', 'bssid':'35e280e74cbe65abc1687cc105a810857335f037d8b38e52487feda0', 'sec':4, 'channel':1, 'rssi':-73}
2022-06-09 17:33:36: {'ssid':'O22', 'bssid':'be9dab4237cee3fb190255ec04c3d59e92fd18d80d602169b72a3e33', 'sec':5, 'channel':1, 'rssi':-75}
2022-06-09 17:33:36: {'ssid':'O23', 'bssid':'80b0f72033122ef0e6ffad93f36d3dbafb36840f6d21dc2c485a288c', 'sec':0, 'channel':11, 'rssi':-79}
2022-06-09 17:33:36: {'ssid':'O22', 'bssid':'700e59ef722e1421046be38fd893a53cbb86be8a5a1604558274b9b7', 'sec':5, 'channel':11, 'rssi':-80}
2022-06-09 17:33:36: {'ssid':'O21', 'bssid':'e41b8ece0280ee6b16e0d2cdaed938377fc1758409bde343fd305fb8', 'sec':0, 'channel':11, 'rssi':-80}
2022-06-09 17:33:36: {'ssid':'O21', 'bssid':'1d7efc4b497dd82f802ff4ce786f66996010919bbadc716dd273f9de', 'sec':0, 'channel':11, 'rssi':-98}
2022-06-09 17:33:38: {'ssid':'O22', 'bssid':'be9dab4237cee3fb190255ec04c3d59e92fd18d80d602169b72a3e33', 'sec':5, 'channel':1, 'rssi':-72}
2022-06-09 17:33:38: {'ssid':'O25', 'bssid':'35e280e74cbe65abc1687cc105a810857335f037d8b38e52487feda0', 'sec':4, 'channel':1, 'rssi':-72}
2022-06-09 17:33:38: {'ssid':'O21', 'bssid':'497b7aeeecb607eeddf87aa31d3c2857226e939af544b3800758b83a', 'sec':0, 'channel':1, 'rssi':-73}
2022-06-09 17:33:38: {'ssid':'O21', 'bssid':'e41b8ece0280ee6b16e0d2cdaed938377fc1758409bde343fd305fb8', 'sec':0, 'channel':11, 'rssi':-73}
2022-06-09 17:33:38: {'ssid':'O23', 'bssid':'8f23018bf5723b611efae0cb4e6ee9b744c3ce9f79d8809ea384daf5', 'sec':0, 'channel':1, 'rssi':-74}
2022-06-09 17:33:38: {'ssid':'O23-interne', 'bssid':'c4a9ded892612c8b5f121e54458e390061839e50149c6a81a6b24921', 'sec':5, 'channel':1, 'rssi':-74}
2022-06-09 17:33:38: {'ssid':'O23', 'bssid':'80b0f72033122ef0e6ffad93f36d3dbafb36840f6d21dc2c485a288c', 'sec':0, 'channel':11, 'rssi':-74}
2022-06-09 17:33:38: {'ssid':'O22', 'bssid':'bcff0d0aea46e20a6b4d08a665418ff68a837dd446399689ee42a169', 'sec':5, 'channel':6, 'rssi':-81}
2022-06-09 17:33:38: {'ssid':'O21', 'bssid':'7fd57896faa07c8248f5b1fef5f143c0d0ed48e6b9e665787d9377f0', 'sec':0, 'channel':6, 'rssi':-81}
2022-06-09 17:33:38: {'ssid':'O23', 'bssid':'3377110518ddc3d14851baaac2042c1e3f3a29f228f08fdc154ee32b', 'sec':0, 'channel':6, 'rssi':-81}
2022-06-09 17:33:38: {'ssid':'O23-interne', 'bssid':'5a0578f09926d4dd5cfc5f20475591cab06228768667191610f71703', 'sec':5, 'channel':6, 'rssi':-81}
2022-06-09 17:33:38: {'ssid':'O26', 'bssid':'68d1dab78af16d01929bb2e5e6b870f95e3c8fc3a0ddee297a26abf6', 'sec':3, 'channel':4, 'rssi':-84}
2022-06-09 17:33:40: {'ssid':'O25', 'bssid':'35e280e74cbe65abc1687cc105a810857335f037d8b38e52487feda0', 'sec':4, 'channel':1, 'rssi':-75}
2022-06-09 17:33:40: {'ssid':'O23', 'bssid':'8f23018bf5723b611efae0cb4e6ee9b744c3ce9f79d8809ea384daf5', 'sec':0, 'channel':1, 'rssi':-76}
2022-06-09 17:33:40: {'ssid':'O21', 'bssid':'e41b8ece0280ee6b16e0d2cdaed938377fc1758409bde343fd305fb8', 'sec':0, 'channel':11, 'rssi':-76}
2022-06-09 17:33:40: {'ssid':'O22', 'bssid':'be9dab4237cee3fb190255ec04c3d59e92fd18d80d602169b72a3e33', 'sec':5, 'channel':1, 'rssi':-77}
2022-06-09 17:33:40: {'ssid':'O21', 'bssid':'497b7aeeecb607eeddf87aa31d3c2857226e939af544b3800758b83a', 'sec':0, 'channel':1, 'rssi':-77}
2022-06-09 17:33:42: {'ssid':'O25', 'bssid':'35e280e74cbe65abc1687cc105a810857335f037d8b38e52487feda0', 'sec':4, 'channel':1, 'rssi':-72}
2022-06-09 17:33:42: {'ssid':'O22', 'bssid':'700e59ef722e1421046be38fd893a53cbb86be8a5a1604558274b9b7', 'sec':5, 'channel':11, 'rssi':-73}
2022-06-09 17:33:42: {'ssid':'O22', 'bssid':'be9dab4237cee3fb190255ec04c3d59e92fd18d80d602169b72a3e33', 'sec':5, 'channel':1, 'rssi':-74}
2022-06-09 17:33:42: {'ssid':'O23-interne', 'bssid':'7415c3f0b888b0ceb0b77d2f4ed89f761090d83b5ca6353d74a5d52c', 'sec':5, 'channel':11, 'rssi':-74}
2022-06-09 17:33:42: {'ssid':'O21', 'bssid':'e41b8ece0280ee6b16e0d2cdaed938377fc1758409bde343fd305fb8', 'sec':0, 'channel':11, 'rssi':-75}
2022-06-09 17:33:42: {'ssid':'O23', 'bssid':'80b0f72033122ef0e6ffad93f36d3dbafb36840f6d21dc2c485a288c', 'sec':0, 'channel':11, 'rssi':-75}
2022-06-09 17:33:42: {'ssid':'O22', 'bssid':'bcff0d0aea46e20a6b4d08a665418ff68a837dd446399689ee42a169', 'sec':5, 'channel':6, 'rssi':-82}
2022-06-09 17:33:42: {'ssid':'O21', 'bssid':'7fd57896faa07c8248f5b1fef5f143c0d0ed48e6b9e665787d9377f0', 'sec':0, 'channel':6, 'rssi':-82}
2022-06-09 17:33:42: {'ssid':'O26', 'bssid':'68d1dab78af16d01929bb2e5e6b870f95e3c8fc3a0ddee297a26abf6', 'sec':3, 'channel':4, 'rssi':-83}
2022-06-09 17:33:44: {'ssid':'O22', 'bssid':'be9dab4237cee3fb190255ec04c3d59e92fd18d80d602169b72a3e33', 'sec':5, 'channel':1, 'rssi':-75}
2022-06-09 17:33:44: {'ssid':'O21', 'bssid':'497b7aeeecb607eeddf87aa31d3c2857226e939af544b3800758b83a', 'sec':0, 'channel':1, 'rssi':-75}
2022-06-09 17:33:46: {'ssid':'O25', 'bssid':'35e280e74cbe65abc1687cc105a810857335f037d8b38e52487feda0', 'sec':4, 'channel':1, 'rssi':-73}
2022-06-09 17:33:46: {'ssid':'O22', 'bssid':'700e59ef722e1421046be38fd893a53cbb86be8a5a1604558274b9b7', 'sec':5, 'channel':11, 'rssi':-76}
2022-06-09 17:33:46: {'ssid':'O23-interne', 'bssid':'c4a9ded892612c8b5f121e54458e390061839e50149c6a81a6b24921', 'sec':5, 'channel':1, 'rssi':-77}
2022-06-09 17:33:46: {'ssid':'O21', 'bssid':'e41b8ece0280ee6b16e0d2cdaed938377fc1758409bde343fd305fb8', 'sec':0, 'channel':11, 'rssi':-77}
2022-06-09 17:33:46: {'ssid':'O22', 'bssid':'be9dab4237cee3fb190255ec04c3d59e92fd18d80d602169b72a3e33', 'sec':5, 'channel':1, 'rssi':-78}
2022-06-09 17:33:46: {'ssid':'O21', 'bssid':'497b7aeeecb607eeddf87aa31d3c2857226e939af544b3800758b83a', 'sec':0, 'channel':1, 'rssi':-78}
2022-06-09 17:33:46: {'ssid':'O23', 'bssid':'8f23018bf5723b611efae0cb4e6ee9b744c3ce9f79d8809ea384daf5', 'sec':0, 'channel':1, 'rssi':-78}
2022-06-09 17:33:46: {'ssid':'O23', 'bssid':'80b0f72033122ef0e6ffad93f36d3dbafb36840f6d21dc2c485a288c', 'sec':0, 'channel':11, 'rssi':-80}
2022-06-09 17:33:46: {'ssid':'O22', 'bssid':'bcff0d0aea46e20a6b4d08a665418ff68a837dd446399689ee42a169', 'sec':5, 'channel':6, 'rssi':-81}
2022-06-09 17:33:46: {'ssid':'O21', 'bssid':'7fd57896faa07c8248f5b1fef5f143c0d0ed48e6b9e665787d9377f0', 'sec':0, 'channel':6, 'rssi':-81}
2022-06-09 17:33:46: {'ssid':'O23', 'bssid':'3377110518ddc3d14851baaac2042c1e3f3a29f228f08fdc154ee32b', 'sec':0, 'channel':6, 'rssi':-81}
2022-06-09 17:33:46: {'ssid':'O23-interne', 'bssid':'5a0578f09926d4dd5cfc5f20475591cab06228768667191610f71703', 'sec':5, 'channel':6, 'rssi':-81}
2022-06-09 17:33:48: {'ssid':'O22', 'bssid':'be9dab4237cee3fb190255ec04c3d59e92fd18d80d602169b72a3e33', 'sec':5, 'channel':1, 'rssi':-76}
2022-06-09 17:33:48: {'ssid':'O22', 'bssid':'bcff0d0aea46e20a6b4d08a665418ff68a837dd446399689ee42a169', 'sec':5, 'channel':6, 'rssi':-80}
2022-06-09 17:33:48: {'ssid':'O21', 'bssid':'7fd57896faa07c8248f5b1fef5f143c0d0ed48e6b9e665787d9377f0', 'sec':0, 'channel':6, 'rssi':-80}
2022-06-09 17:33:48: {'ssid':'O23-interne', 'bssid':'5a0578f09926d4dd5cfc5f20475591cab06228768667191610f71703', 'sec':5, 'channel':6, 'rssi':-80}
2022-06-09 17:33:48: {'ssid':'O23', 'bssid':'3377110518ddc3d14851baaac2042c1e3f3a29f228f08fdc154ee32b', 'sec':0, 'channel':6, 'rssi':-81}
2022-06-09 17:33:48: {'ssid':'O22', 'bssid':'700e59ef722e1421046be38fd893a53cbb86be8a5a1604558274b9b7', 'sec':5, 'channel':11, 'rssi':-81}
2022-06-09 17:33:48: {'ssid':'O23', 'bssid':'80b0f72033122ef0e6ffad93f36d3dbafb36840f6d21dc2c485a288c', 'sec':0, 'channel':11, 'rssi':-81}
2022-06-09 17:33:48: {'ssid':'O21', 'bssid':'e41b8ece0280ee6b16e0d2cdaed938377fc1758409bde343fd305fb8', 'sec':0, 'channel':11, 'rssi':-82}
2022-06-09 17:33:48: {'ssid':'O26', 'bssid':'68d1dab78af16d01929bb2e5e6b870f95e3c8fc3a0ddee297a26abf6', 'sec':3, 'channel':4, 'rssi':-83}
2022-06-09 17:33:48: {'ssid':'O23-interne', 'bssid':'7415c3f0b888b0ceb0b77d2f4ed89f761090d83b5ca6353d74a5d52c', 'sec':5, 'channel':11, 'rssi':-83}
2022-06-09 17:33:50: {'ssid':'O25', 'bssid':'35e280e74cbe65abc1687cc105a810857335f037d8b38e52487feda0', 'sec':4, 'channel':1, 'rssi':-73}
2022-06-09 17:33:50: {'ssid':'O22', 'bssid':'be9dab4237cee3fb190255ec04c3d59e92fd18d80d602169b72a3e33', 'sec':5, 'channel':1, 'rssi':-76}
2022-06-09 17:33:50: {'ssid':'O21', 'bssid':'497b7aeeecb607eeddf87aa31d3c2857226e939af544b3800758b83a', 'sec':0, 'channel':1, 'rssi':-76}
2022-06-09 17:33:50: {'ssid':'O21', 'bssid':'7fd57896faa07c8248f5b1fef5f143c0d0ed48e6b9e665787d9377f0', 'sec':0, 'channel':6, 'rssi':-80}
2022-06-09 17:33:50: {'ssid':'O23', 'bssid':'3377110518ddc3d14851baaac2042c1e3f3a29f228f08fdc154ee32b', 'sec':0, 'channel':6, 'rssi':-80}
2022-06-09 17:33:50: {'ssid':'O22', 'bssid':'bcff0d0aea46e20a6b4d08a665418ff68a837dd446399689ee42a169', 'sec':5, 'channel':6, 'rssi':-81}
2022-06-09 17:33:52: {'ssid':'O25', 'bssid':'35e280e74cbe65abc1687cc105a810857335f037d8b38e52487feda0', 'sec':4, 'channel':1, 'rssi':-72}
2022-06-09 17:33:52: {'ssid':'O21', 'bssid':'7fd57896faa07c8248f5b1fef5f143c0d0ed48e6b9e665787d9377f0', 'sec':0, 'channel':6, 'rssi':-80}
2022-06-09 17:33:52: {'ssid':'O23', 'bssid':'3377110518ddc3d14851baaac2042c1e3f3a29f228f08fdc154ee32b', 'sec':0, 'channel':6, 'rssi':-80}
2022-06-09 17:33:52: {'ssid':'O22', 'bssid':'700e59ef722e1421046be38fd893a53cbb86be8a5a1604558274b9b7', 'sec':5, 'channel':11, 'rssi':-80}
2022-06-09 17:33:52: {'ssid':'O21', 'bssid':'e41b8ece0280ee6b16e0d2cdaed938377fc1758409bde343fd305fb8', 'sec':0, 'channel':11, 'rssi':-80}
2022-06-09 17:33:52: {'ssid':'O23', 'bssid':'80b0f72033122ef0e6ffad93f36d3dbafb36840f6d21dc2c485a288c', 'sec':0, 'channel':11, 'rssi':-80}
2022-06-09 17:33:54: {'ssid':'O25', 'bssid':'35e280e74cbe65abc1687cc105a810857335f037d8b38e52487feda0', 'sec':4, 'channel':1, 'rssi':-73}
2022-06-09 17:33:54: {'ssid':'O23', 'bssid':'8f23018bf5723b611efae0cb4e6ee9b744c3ce9f79d8809ea384daf5', 'sec':0, 'channel':1, 'rssi':-76}
2022-06-09 17:33:54: {'ssid':'O23-interne', 'bssid':'c4a9ded892612c8b5f121e54458e390061839e50149c6a81a6b24921', 'sec':5, 'channel':1, 'rssi':-76}
2022-06-09 17:33:54: {'ssid':'O23', 'bssid':'80b0f72033122ef0e6ffad93f36d3dbafb36840f6d21dc2c485a288c', 'sec':0, 'channel':11, 'rssi':-76}
2022-06-09 17:33:54: {'ssid':'O23-interne', 'bssid':'7415c3f0b888b0ceb0b77d2f4ed89f761090d83b5ca6353d74a5d52c', 'sec':5, 'channel':11, 'rssi':-76}
2022-06-09 17:33:54: {'ssid':'O22', 'bssid':'be9dab4237cee3fb190255ec04c3d59e92fd18d80d602169b72a3e33', 'sec':5, 'channel':1, 'rssi':-77}
2022-06-09 17:33:54: {'ssid':'O21', 'bssid':'497b7aeeecb607eeddf87aa31d3c2857226e939af544b3800758b83a', 'sec':0, 'channel':1, 'rssi':-77}
2022-06-09 17:33:54: {'ssid':'O22', 'bssid':'700e59ef722e1421046be38fd893a53cbb86be8a5a1604558274b9b7', 'sec':5, 'channel':11, 'rssi':-77}
2022-06-09 17:33:54: {'ssid':'O21', 'bssid':'e41b8ece0280ee6b16e0d2cdaed938377fc1758409bde343fd305fb8', 'sec':0, 'channel':11, 'rssi':-77}
2022-06-09 17:33:54: {'ssid':'O21', 'bssid':'7fd57896faa07c8248f5b1fef5f143c0d0ed48e6b9e665787d9377f0', 'sec':0, 'channel':6, 'rssi':-81}
2022-06-09 17:33:54: {'ssid':'O23', 'bssid':'3377110518ddc3d14851baaac2042c1e3f3a29f228f08fdc154ee32b', 'sec':0, 'channel':6, 'rssi':-82}
2022-06-09 17:33:54: {'ssid':'O22', 'bssid':'bcff0d0aea46e20a6b4d08a665418ff68a837dd446399689ee42a169', 'sec':5, 'channel':6, 'rssi':-82}
2022-06-09 17:33:54: {'ssid':'O23-interne', 'bssid':'5a0578f09926d4dd5cfc5f20475591cab06228768667191610f71703', 'sec':5, 'channel':6, 'rssi':-82}
2022-06-09 17:33:56: {'ssid':'O25', 'bssid':'35e280e74cbe65abc1687cc105a810857335f037d8b38e52487feda0', 'sec':4, 'channel':1, 'rssi':-74}
2022-06-09 17:33:56: {'ssid':'O22', 'bssid':'be9dab4237cee3fb190255ec04c3d59e92fd18d80d602169b72a3e33', 'sec':5, 'channel':1, 'rssi':-77}
2022-06-09 17:33:56: {'ssid':'O22', 'bssid':'bcff0d0aea46e20a6b4d08a665418ff68a837dd446399689ee42a169', 'sec':5, 'channel':6, 'rssi':-82}
2022-06-09 17:33:56: {'ssid':'O21', 'bssid':'7fd57896faa07c8248f5b1fef5f143c0d0ed48e6b9e665787d9377f0', 'sec':0, 'channel':6, 'rssi':-82}
2022-06-09 17:33:56: {'ssid':'O23', 'bssid':'3377110518ddc3d14851baaac2042c1e3f3a29f228f08fdc154ee32b', 'sec':0, 'channel':6, 'rssi':-82}
2022-06-09 17:33:56: {'ssid':'O23-interne', 'bssid':'5a0578f09926d4dd5cfc5f20475591cab06228768667191610f71703', 'sec':5, 'channel':6, 'rssi':-82}
2022-06-09 17:33:56: {'ssid':'O26', 'bssid':'68d1dab78af16d01929bb2e5e6b870f95e3c8fc3a0ddee297a26abf6', 'sec':3, 'channel':4, 'rssi':-83}
2022-06-09 17:33:58: {'ssid':'O22', 'bssid':'be9dab4237cee3fb190255ec04c3d59e92fd18d80d602169b72a3e33', 'sec':5, 'channel':1, 'rssi':-71}
2022-06-09 17:33:58: {'ssid':'O21', 'bssid':'497b7aeeecb607eeddf87aa31d3c2857226e939af544b3800758b83a', 'sec':0, 'channel':1, 'rssi':-72}
2022-06-09 17:33:58: {'ssid':'O25', 'bssid':'35e280e74cbe65abc1687cc105a810857335f037d8b38e52487feda0', 'sec':4, 'channel':1, 'rssi':-73}
2022-06-09 17:33:58: {'ssid':'O21', 'bssid':'e41b8ece0280ee6b16e0d2cdaed938377fc1758409bde343fd305fb8', 'sec':0, 'channel':11, 'rssi':-78}
2022-06-09 17:33:58: {'ssid':'O22', 'bssid':'700e59ef722e1421046be38fd893a53cbb86be8a5a1604558274b9b7', 'sec':5, 'channel':11, 'rssi':-79}
2022-06-09 17:33:58: {'ssid':'O23', 'bssid':'80b0f72033122ef0e6ffad93f36d3dbafb36840f6d21dc2c485a288c', 'sec':0, 'channel':11, 'rssi':-79}
2022-06-09 17:33:58: {'ssid':'O23-interne', 'bssid':'7415c3f0b888b0ceb0b77d2f4ed89f761090d83b5ca6353d74a5d52c', 'sec':5, 'channel':11, 'rssi':-79}
2022-06-09 17:33:58: {'ssid':'O22', 'bssid':'bcff0d0aea46e20a6b4d08a665418ff68a837dd446399689ee42a169', 'sec':5, 'channel':6, 'rssi':-81}
2022-06-09 17:33:58: {'ssid':'O21', 'bssid':'7fd57896faa07c8248f5b1fef5f143c0d0ed48e6b9e665787d9377f0', 'sec':0, 'channel':6, 'rssi':-81}
2022-06-09 17:33:58: {'ssid':'O23', 'bssid':'3377110518ddc3d14851baaac2042c1e3f3a29f228f08fdc154ee32b', 'sec':0, 'channel':6, 'rssi':-81}
2022-06-09 17:33:58: {'ssid':'O26', 'bssid':'68d1dab78af16d01929bb2e5e6b870f95e3c8fc3a0ddee297a26abf6', 'sec':3, 'channel':4, 'rssi':-84}
2022-06-09 17:34:00: {'ssid':'O25', 'bssid':'35e280e74cbe65abc1687cc105a810857335f037d8b38e52487feda0', 'sec':4, 'channel':1, 'rssi':-72}
2022-06-09 17:34:00: {'ssid':'O22', 'bssid':'be9dab4237cee3fb190255ec04c3d59e92fd18d80d602169b72a3e33', 'sec':5, 'channel':1, 'rssi':-75}
2022-06-09 17:34:00: {'ssid':'O23', 'bssid':'8f23018bf5723b611efae0cb4e6ee9b744c3ce9f79d8809ea384daf5', 'sec':0, 'channel':1, 'rssi':-75}
2022-06-09 17:34:00: {'ssid':'O23-interne', 'bssid':'c4a9ded892612c8b5f121e54458e390061839e50149c6a81a6b24921', 'sec':5, 'channel':1, 'rssi':-75}
2022-06-09 17:34:00: {'ssid':'O21', 'bssid':'497b7aeeecb607eeddf87aa31d3c2857226e939af544b3800758b83a', 'sec':0, 'channel':1, 'rssi':-76}
2022-06-09 17:34:00: {'ssid':'O23', 'bssid':'80b0f72033122ef0e6ffad93f36d3dbafb36840f6d21dc2c485a288c', 'sec':0, 'channel':11, 'rssi':-76}
2022-06-09 17:34:00: {'ssid':'O22', 'bssid':'700e59ef722e1421046be38fd893a53cbb86be8a5a1604558274b9b7', 'sec':5, 'channel':11, 'rssi':-78}
2022-06-09 17:34:00: {'ssid':'O21', 'bssid':'e41b8ece0280ee6b16e0d2cdaed938377fc1758409bde343fd305fb8', 'sec':0, 'channel':11, 'rssi':-78}
2022-06-09 17:34:00: {'ssid':'O23-interne', 'bssid':'7415c3f0b888b0ceb0b77d2f4ed89f761090d83b5ca6353d74a5d52c', 'sec':5, 'channel':11, 'rssi':-78}
2022-06-09 17:34:00: {'ssid':'O23', 'bssid':'3377110518ddc3d14851baaac2042c1e3f3a29f228f08fdc154ee32b', 'sec':0, 'channel':6, 'rssi':-82}
2022-06-09 17:34:00: {'ssid':'O23-interne', 'bssid':'5a0578f09926d4dd5cfc5f20475591cab06228768667191610f71703', 'sec':5, 'channel':6, 'rssi':-82}
2022-06-09 17:34:00: {'ssid':'O22', 'bssid':'bcff0d0aea46e20a6b4d08a665418ff68a837dd446399689ee42a169', 'sec':5, 'channel':6, 'rssi':-83}
2022-06-09 17:34:00: {'ssid':'O21', 'bssid':'7fd57896faa07c8248f5b1fef5f143c0d0ed48e6b9e665787d9377f0', 'sec':0, 'channel':6, 'rssi':-84}
2022-06-09 17:34:00: {'ssid':'O26', 'bssid':'68d1dab78af16d01929bb2e5e6b870f95e3c8fc3a0ddee297a26abf6', 'sec':3, 'channel':4, 'rssi':-87}
2022-06-09 17:34:02: {'ssid':'O22', 'bssid':'be9dab4237cee3fb190255ec04c3d59e92fd18d80d602169b72a3e33', 'sec':5, 'channel':1, 'rssi':-73}
2022-06-09 17:34:02: {'ssid':'O22', 'bssid':'700e59ef722e1421046be38fd893a53cbb86be8a5a1604558274b9b7', 'sec':5, 'channel':11, 'rssi':-84}
2022-06-09 17:34:02: {'ssid':'O23', 'bssid':'80b0f72033122ef0e6ffad93f36d3dbafb36840f6d21dc2c485a288c', 'sec':0, 'channel':11, 'rssi':-84}
2022-06-09 17:34:02: {'ssid':'O21', 'bssid':'e41b8ece0280ee6b16e0d2cdaed938377fc1758409bde343fd305fb8', 'sec':0, 'channel':11, 'rssi':-85}
2022-06-09 17:34:02: {'ssid':'O23-interne', 'bssid':'7415c3f0b888b0ceb0b77d2f4ed89f761090d83b5ca6353d74a5d52c', 'sec':5, 'channel':11, 'rssi':-86}
2022-06-09 17:34:04: {'ssid':'O23', 'bssid':'8f23018bf5723b611efae0cb4e6ee9b744c3ce9f79d8809ea384daf5', 'sec':0, 'channel':1, 'rssi':-73}
2022-06-09 17:34:04: {'ssid':'O22', 'bssid':'be9dab4237cee3fb190255ec04c3d59e92fd18d80d602169b72a3e33', 'sec':5, 'channel':1, 'rssi':-74}
2022-06-09 17:34:04: {'ssid':'O25', 'bssid':'35e280e74cbe65abc1687cc105a810857335f037d8b38e52487feda0', 'sec':4, 'channel':1, 'rssi':-74}
