Time,ssid,bssid,sec,channel,rssi
16:34:51,O73,8f23018bf5723b611efae0cb4e6ee9b744c3ce9f79d8809ea384daf5,5,1,-75
16:34:51,O75,68d1dab78af16d01929bb2e5e6b870f95e3c8fc3a0ddee297a26abf6,3,4,-84
16:34:51,O71,bcff0d0aea46e20a6b4d08a665418ff68a837dd446399689ee42a169,0,6,-85
16:34:51,O73,3377110518ddc3d14851baaac2042c1e3f3a29f228f08fdc154ee32b,5,6,-85
16:34:51,O74,1539293994a7dc4106a161294ea0af461c3d94d7181c800183c4aaf7,0,6,-86
16:34:51,O72,7fd57896faa07c8248f5b1fef5f143c0d0ed48e6b9e665787d9377f0,5,6,-86
16:34:54,O71,700e59ef722e1421046be38fd893a53cbb86be8a5a1604558274b9b7,0,11,-69
16:34:54,O74,d6f4917601daa227db313b7c301a381fa41fccac55f40079b8c42b6f,0,11,-69
16:34:54,O72,e41b8ece0280ee6b16e0d2cdaed938377fc1758409bde343fd305fb8,5,11,-69
16:34:54,O73,80b0f72033122ef0e6ffad93f36d3dbafb36840f6d21dc2c485a288c,5,11,-69
16:34:54,O73,8f23018bf5723b611efae0cb4e6ee9b744c3ce9f79d8809ea384daf5,5,1,-74
16:34:54,O71,be9dab4237cee3fb190255ec04c3d59e92fd18d80d602169b72a3e33,0,1,-75
16:34:54,O74,bd8a30214688a2845435eeb618a9b1fab0e73a0d9ca5df16da9ab8e8,0,1,-75
16:34:54,O72,497b7aeeecb607eeddf87aa31d3c2857226e939af544b3800758b83a,5,1,-75
16:34:54,O75,68d1dab78af16d01929bb2e5e6b870f95e3c8fc3a0ddee297a26abf6,3,4,-84
16:34:54,O72,7fd57896faa07c8248f5b1fef5f143c0d0ed48e6b9e665787d9377f0,5,6,-84
16:34:54,O73,3377110518ddc3d14851baaac2042c1e3f3a29f228f08fdc154ee32b,5,6,-84
16:34:54,O71,bcff0d0aea46e20a6b4d08a665418ff68a837dd446399689ee42a169,0,6,-85
16:34:54,O74,1539293994a7dc4106a161294ea0af461c3d94d7181c800183c4aaf7,0,6,-85
16:34:56,O71,700e59ef722e1421046be38fd893a53cbb86be8a5a1604558274b9b7,0,11,-69
16:34:56,O74,d6f4917601daa227db313b7c301a381fa41fccac55f40079b8c42b6f,0,11,-69
16:34:56,O72,e41b8ece0280ee6b16e0d2cdaed938377fc1758409bde343fd305fb8,5,11,-69
16:34:56,O73,80b0f72033122ef0e6ffad93f36d3dbafb36840f6d21dc2c485a288c,5,11,-69
16:34:56,O71,be9dab4237cee3fb190255ec04c3d59e92fd18d80d602169b72a3e33,0,1,-74
16:34:56,O72,497b7aeeecb607eeddf87aa31d3c2857226e939af544b3800758b83a,5,1,-74
16:34:56,O73,8f23018bf5723b611efae0cb4e6ee9b744c3ce9f79d8809ea384daf5,5,1,-74
16:34:56,O74,bd8a30214688a2845435eeb618a9b1fab0e73a0d9ca5df16da9ab8e8,0,1,-75
16:34:56,O72,7fd57896faa07c8248f5b1fef5f143c0d0ed48e6b9e665787d9377f0,5,6,-84
16:34:56,O75,68d1dab78af16d01929bb2e5e6b870f95e3c8fc3a0ddee297a26abf6,3,4,-85
16:34:56,O71,bcff0d0aea46e20a6b4d08a665418ff68a837dd446399689ee42a169,0,6,-85
16:34:56,O74,1539293994a7dc4106a161294ea0af461c3d94d7181c800183c4aaf7,0,6,-85
16:34:56,O73,3377110518ddc3d14851baaac2042c1e3f3a29f228f08fdc154ee32b,5,6,-86
16:34:58,O71,700e59ef722e1421046be38fd893a53cbb86be8a5a1604558274b9b7,0,11,-69
16:34:58,O74,d6f4917601daa227db313b7c301a381fa41fccac55f40079b8c42b6f,0,11,-69
16:34:58,O72,e41b8ece0280ee6b16e0d2cdaed938377fc1758409bde343fd305fb8,5,11,-69
16:34:58,O73,80b0f72033122ef0e6ffad93f36d3dbafb36840f6d21dc2c485a288c,5,11,-69
16:34:58,O71,be9dab4237cee3fb190255ec04c3d59e92fd18d80d602169b72a3e33,0,1,-72
16:34:58,O74,bd8a30214688a2845435eeb618a9b1fab0e73a0d9ca5df16da9ab8e8,0,1,-72
16:34:58,O72,497b7aeeecb607eeddf87aa31d3c2857226e939af544b3800758b83a,5,1,-74
16:34:58,O73,8f23018bf5723b611efae0cb4e6ee9b744c3ce9f79d8809ea384daf5,5,1,-74
16:34:58,O75,68d1dab78af16d01929bb2e5e6b870f95e3c8fc3a0ddee297a26abf6,3,4,-84
16:34:58,O72,7fd57896faa07c8248f5b1fef5f143c0d0ed48e6b9e665787d9377f0,5,6,-85
16:34:58,O71,bcff0d0aea46e20a6b4d08a665418ff68a837dd446399689ee42a169,0,6,-86
16:34:58,O74,1539293994a7dc4106a161294ea0af461c3d94d7181c800183c4aaf7,0,6,-86
16:34:58,O73,3377110518ddc3d14851baaac2042c1e3f3a29f228f08fdc154ee32b,5,6,-86
16:35:00,O71,700e59ef722e1421046be38fd893a53cbb86be8a5a1604558274b9b7,0,11,-69
16:35:00,O74,d6f4917601daa227db313b7c301a381fa41fccac55f40079b8c42b6f,0,11,-69
16:35:00,O72,e41b8ece0280ee6b16e0d2cdaed938377fc1758409bde343fd305fb8,5,11,-69
16:35:00,O73,80b0f72033122ef0e6ffad93f36d3dbafb36840f6d21dc2c485a288c,5,11,-69
16:35:00,O73,3377110518ddc3d14851baaac2042c1e3f3a29f228f08fdc154ee32b,5,6,-84
16:35:00,O75,68d1dab78af16d01929bb2e5e6b870f95e3c8fc3a0ddee297a26abf6,3,4,-85
16:35:00,O71,bcff0d0aea46e20a6b4d08a665418ff68a837dd446399689ee42a169,0,6,-85
16:35:00,O74,1539293994a7dc4106a161294ea0af461c3d94d7181c800183c4aaf7,0,6,-86
16:35:00,O72,7fd57896faa07c8248f5b1fef5f143c0d0ed48e6b9e665787d9377f0,5,6,-86
16:35:02,O71,700e59ef722e1421046be38fd893a53cbb86be8a5a1604558274b9b7,0,11,-69
16:35:02,O72,e41b8ece0280ee6b16e0d2cdaed938377fc1758409bde343fd305fb8,5,11,-69
16:35:02,O73,80b0f72033122ef0e6ffad93f36d3dbafb36840f6d21dc2c485a288c,5,11,-69
16:35:02,O74,d6f4917601daa227db313b7c301a381fa41fccac55f40079b8c42b6f,0,11,-71
16:35:02,O71,be9dab4237cee3fb190255ec04c3d59e92fd18d80d602169b72a3e33,0,1,-74
16:35:02,O72,497b7aeeecb607eeddf87aa31d3c2857226e939af544b3800758b83a,5,1,-74
16:35:02,O73,8f23018bf5723b611efae0cb4e6ee9b744c3ce9f79d8809ea384daf5,5,1,-74
16:35:02,O74,bd8a30214688a2845435eeb618a9b1fab0e73a0d9ca5df16da9ab8e8,0,1,-75
16:35:02,O75,68d1dab78af16d01929bb2e5e6b870f95e3c8fc3a0ddee297a26abf6,3,4,-84
16:35:04,O71,700e59ef722e1421046be38fd893a53cbb86be8a5a1604558274b9b7,0,11,-69
16:35:04,O74,d6f4917601daa227db313b7c301a381fa41fccac55f40079b8c42b6f,0,11,-69
16:35:04,O73,80b0f72033122ef0e6ffad93f36d3dbafb36840f6d21dc2c485a288c,5,11,-69
16:35:04,O72,e41b8ece0280ee6b16e0d2cdaed938377fc1758409bde343fd305fb8,5,11,-70
16:35:04,O74,bd8a30214688a2845435eeb618a9b1fab0e73a0d9ca5df16da9ab8e8,0,1,-74
16:35:04,O72,497b7aeeecb607eeddf87aa31d3c2857226e939af544b3800758b83a,5,1,-74
16:35:04,O71,be9dab4237cee3fb190255ec04c3d59e92fd18d80d602169b72a3e33,0,1,-75
16:35:04,O73,8f23018bf5723b611efae0cb4e6ee9b744c3ce9f79d8809ea384daf5,5,1,-75
16:35:04,O75,68d1dab78af16d01929bb2e5e6b870f95e3c8fc3a0ddee297a26abf6,3,4,-84
16:35:06,O74,d6f4917601daa227db313b7c301a381fa41fccac55f40079b8c42b6f,0,11,-69
16:35:06,O72,e41b8ece0280ee6b16e0d2cdaed938377fc1758409bde343fd305fb8,5,11,-69
16:35:06,O73,80b0f72033122ef0e6ffad93f36d3dbafb36840f6d21dc2c485a288c,5,11,-69
16:35:06,O71,700e59ef722e1421046be38fd893a53cbb86be8a5a1604558274b9b7,0,11,-70
16:35:06,O71,be9dab4237cee3fb190255ec04c3d59e92fd18d80d602169b72a3e33,0,1,-74
16:35:06,O74,bd8a30214688a2845435eeb618a9b1fab0e73a0d9ca5df16da9ab8e8,0,1,-74
16:35:06,O72,497b7aeeecb607eeddf87aa31d3c2857226e939af544b3800758b83a,5,1,-74
16:35:06,O73,8f23018bf5723b611efae0cb4e6ee9b744c3ce9f79d8809ea384daf5,5,1,-74
16:35:06,O75,68d1dab78af16d01929bb2e5e6b870f95e3c8fc3a0ddee297a26abf6,3,4,-80
16:35:06,O72,7fd57896faa07c8248f5b1fef5f143c0d0ed48e6b9e665787d9377f0,5,6,-85
16:35:06,O74,1539293994a7dc4106a161294ea0af461c3d94d7181c800183c4aaf7,0,6,-85
16:35:06,O73,3377110518ddc3d14851baaac2042c1e3f3a29f228f08fdc154ee32b,5,6,-85
16:35:06,O71,bcff0d0aea46e20a6b4d08a665418ff68a837dd446399689ee42a169,0,6,-86
16:35:08,O71,700e59ef722e1421046be38fd893a53cbb86be8a5a1604558274b9b7,0,11,-69
16:35:08,O74,d6f4917601daa227db313b7c301a381fa41fccac55f40079b8c42b6f,0,11,-69
16:35:08,O72,e41b8ece0280ee6b16e0d2cdaed938377fc1758409bde343fd305fb8,5,11,-69
16:35:08,O73,80b0f72033122ef0e6ffad93f36d3dbafb36840f6d21dc2c485a288c,5,11,-69
16:35:08,O71,be9dab4237cee3fb190255ec04c3d59e92fd18d80d602169b72a3e33,0,1,-74
16:35:08,O74,bd8a30214688a2845435eeb618a9b1fab0e73a0d9ca5df16da9ab8e8,0,1,-74
16:35:08,O72,497b7aeeecb607eeddf87aa31d3c2857226e939af544b3800758b83a,5,1,-74
16:35:08,O73,8f23018bf5723b611efae0cb4e6ee9b744c3ce9f79d8809ea384daf5,5,1,-74
16:35:08,O75,68d1dab78af16d01929bb2e5e6b870f95e3c8fc3a0ddee297a26abf6,3,4,-84
16:35:08,O71,bcff0d0aea46e20a6b4d08a665418ff68a837dd446399689ee42a169,0,6,-84
16:35:08,O72,7fd57896faa07c8248f5b1fef5f143c0d0ed48e6b9e665787d9377f0,5,6,-84
16:35:08,O74,1539293994a7dc4106a161294ea0af461c3d94d7181c800183c4aaf7,0,6,-85
16:35:08,O73,3377110518ddc3d14851baaac2042c1e3f3a29f228f08fdc154ee32b,5,6,-85
16:35:10,O71,700e59ef722e1421046be38fd893a53cbb86be8a5a1604558274b9b7,0,11,-69
16:35:10,O74,d6f4917601daa227db313b7c301a381fa41fccac55f40079b8c42b6f,0,11,-69
16:35:10,O72,e41b8ece0280ee6b16e0d2cdaed938377fc1758409bde343fd305fb8,5,11,-69
16:35:10,O73,80b0f72033122ef0e6ffad93f36d3dbafb36840f6d21dc2c485a288c,5,11,-69
16:35:12,O71,700e59ef722e1421046be38fd893a53cbb86be8a5a1604558274b9b7,0,11,-69
16:35:12,O74,d6f4917601daa227db313b7c301a381fa41fccac55f40079b8c42b6f,0,11,-69
16:35:12,O71,be9dab4237cee3fb190255ec04c3d59e92fd18d80d602169b72a3e33,0,1,-74
16:35:12,O74,bd8a30214688a2845435eeb618a9b1fab0e73a0d9ca5df16da9ab8e8,0,1,-74
16:35:12,O72,497b7aeeecb607eeddf87aa31d3c2857226e939af544b3800758b83a,5,1,-74
16:35:12,O73,8f23018bf5723b611efae0cb4e6ee9b744c3ce9f79d8809ea384daf5,5,1,-74
16:35:12,O75,68d1dab78af16d01929bb2e5e6b870f95e3c8fc3a0ddee297a26abf6,3,4,-85
16:35:12,O71,bcff0d0aea46e20a6b4d08a665418ff68a837dd446399689ee42a169,0,6,-85
16:35:12,O74,1539293994a7dc4106a161294ea0af461c3d94d7181c800183c4aaf7,0,6,-85
16:35:12,O72,7fd57896faa07c8248f5b1fef5f143c0d0ed48e6b9e665787d9377f0,5,6,-85
16:35:12,O73,3377110518ddc3d14851baaac2042c1e3f3a29f228f08fdc154ee32b,5,6,-86
16:35:14,O71,700e59ef722e1421046be38fd893a53cbb86be8a5a1604558274b9b7,0,11,-69
16:35:14,O74,d6f4917601daa227db313b7c301a381fa41fccac55f40079b8c42b6f,0,11,-69
16:35:14,O72,e41b8ece0280ee6b16e0d2cdaed938377fc1758409bde343fd305fb8,5,11,-69
16:35:14,O73,80b0f72033122ef0e6ffad93f36d3dbafb36840f6d21dc2c485a288c,5,11,-69
16:35:14,O71,be9dab4237cee3fb190255ec04c3d59e92fd18d80d602169b72a3e33,0,1,-74
16:35:14,O74,bd8a30214688a2845435eeb618a9b1fab0e73a0d9ca5df16da9ab8e8,0,1,-74
16:35:14,O72,497b7aeeecb607eeddf87aa31d3c2857226e939af544b3800758b83a,5,1,-74
16:35:14,O73,8f23018bf5723b611efae0cb4e6ee9b744c3ce9f79d8809ea384daf5,5,1,-75
16:35:14,O75,68d1dab78af16d01929bb2e5e6b870f95e3c8fc3a0ddee297a26abf6,3,4,-85
16:35:16,O71,700e59ef722e1421046be38fd893a53cbb86be8a5a1604558274b9b7,0,11,-69
16:35:16,O74,d6f4917601daa227db313b7c301a381fa41fccac55f40079b8c42b6f,0,11,-69
16:35:16,O72,e41b8ece0280ee6b16e0d2cdaed938377fc1758409bde343fd305fb8,5,11,-69
16:35:16,O73,80b0f72033122ef0e6ffad93f36d3dbafb36840f6d21dc2c485a288c,5,11,-69
16:35:16,O71,be9dab4237cee3fb190255ec04c3d59e92fd18d80d602169b72a3e33,0,1,-74
16:35:16,O72,497b7aeeecb607eeddf87aa31d3c2857226e939af544b3800758b83a,5,1,-74
16:35:16,O74,bd8a30214688a2845435eeb618a9b1fab0e73a0d9ca5df16da9ab8e8,0,1,-75
16:35:16,O73,8f23018bf5723b611efae0cb4e6ee9b744c3ce9f79d8809ea384daf5,5,1,-75
16:35:16,O75,68d1dab78af16d01929bb2e5e6b870f95e3c8fc3a0ddee297a26abf6,3,4,-84
16:35:18,O71,700e59ef722e1421046be38fd893a53cbb86be8a5a1604558274b9b7,0,11,-69
16:35:18,O74,d6f4917601daa227db313b7c301a381fa41fccac55f40079b8c42b6f,0,11,-69
16:35:18,O72,e41b8ece0280ee6b16e0d2cdaed938377fc1758409bde343fd305fb8,5,11,-69
16:35:18,O73,80b0f72033122ef0e6ffad93f36d3dbafb36840f6d21dc2c485a288c,5,11,-69
16:35:18,O72,497b7aeeecb607eeddf87aa31d3c2857226e939af544b3800758b83a,5,1,-73
16:35:18,O71,be9dab4237cee3fb190255ec04c3d59e92fd18d80d602169b72a3e33,0,1,-74
16:35:18,O74,bd8a30214688a2845435eeb618a9b1fab0e73a0d9ca5df16da9ab8e8,0,1,-74
16:35:18,O73,8f23018bf5723b611efae0cb4e6ee9b744c3ce9f79d8809ea384daf5,5,1,-74
16:35:18,O75,68d1dab78af16d01929bb2e5e6b870f95e3c8fc3a0ddee297a26abf6,3,4,-85
16:35:18,O71,bcff0d0aea46e20a6b4d08a665418ff68a837dd446399689ee42a169,0,6,-85
16:35:18,O72,7fd57896faa07c8248f5b1fef5f143c0d0ed48e6b9e665787d9377f0,5,6,-85
16:35:18,O74,1539293994a7dc4106a161294ea0af461c3d94d7181c800183c4aaf7,0,6,-86
16:35:18,O73,3377110518ddc3d14851baaac2042c1e3f3a29f228f08fdc154ee32b,5,6,-86
16:35:21,O71,700e59ef722e1421046be38fd893a53cbb86be8a5a1604558274b9b7,0,11,-69
16:35:21,O72,e41b8ece0280ee6b16e0d2cdaed938377fc1758409bde343fd305fb8,5,11,-69
16:35:21,O73,80b0f72033122ef0e6ffad93f36d3dbafb36840f6d21dc2c485a288c,5,11,-69
16:35:21,O74,d6f4917601daa227db313b7c301a381fa41fccac55f40079b8c42b6f,0,11,-70
16:35:21,O71,be9dab4237cee3fb190255ec04c3d59e92fd18d80d602169b72a3e33,0,1,-73
16:35:21,O74,bd8a30214688a2845435eeb618a9b1fab0e73a0d9ca5df16da9ab8e8,0,1,-73
16:35:21,O72,497b7aeeecb607eeddf87aa31d3c2857226e939af544b3800758b83a,5,1,-73
16:35:21,O73,8f23018bf5723b611efae0cb4e6ee9b744c3ce9f79d8809ea384daf5,5,1,-73
16:35:21,O75,68d1dab78af16d01929bb2e5e6b870f95e3c8fc3a0ddee297a26abf6,3,4,-85
16:35:21,O73,3377110518ddc3d14851baaac2042c1e3f3a29f228f08fdc154ee32b,5,6,-86
16:35:23,O71,700e59ef722e1421046be38fd893a53cbb86be8a5a1604558274b9b7,0,11,-69
16:35:23,O74,d6f4917601daa227db313b7c301a381fa41fccac55f40079b8c42b6f,0,11,-69
16:35:23,O72,e41b8ece0280ee6b16e0d2cdaed938377fc1758409bde343fd305fb8,5,11,-69
16:35:23,O73,80b0f72033122ef0e6ffad93f36d3dbafb36840f6d21dc2c485a288c,5,11,-69
16:35:23,O71,be9dab4237cee3fb190255ec04c3d59e92fd18d80d602169b72a3e33,0,1,-73
16:35:23,O74,bd8a30214688a2845435eeb618a9b1fab0e73a0d9ca5df16da9ab8e8,0,1,-73
16:35:23,O72,497b7aeeecb607eeddf87aa31d3c2857226e939af544b3800758b83a,5,1,-73
16:35:23,O73,8f23018bf5723b611efae0cb4e6ee9b744c3ce9f79d8809ea384daf5,5,1,-73
16:35:23,O75,68d1dab78af16d01929bb2e5e6b870f95e3c8fc3a0ddee297a26abf6,3,4,-85
16:35:25,O74,d6f4917601daa227db313b7c301a381fa41fccac55f40079b8c42b6f,0,11,-69
16:35:25,O72,e41b8ece0280ee6b16e0d2cdaed938377fc1758409bde343fd305fb8,5,11,-69
16:35:25,O71,700e59ef722e1421046be38fd893a53cbb86be8a5a1604558274b9b7,0,11,-70
16:35:25,O73,80b0f72033122ef0e6ffad93f36d3dbafb36840f6d21dc2c485a288c,5,11,-70
16:35:25,O71,be9dab4237cee3fb190255ec04c3d59e92fd18d80d602169b72a3e33,0,1,-74
16:35:25,O74,bd8a30214688a2845435eeb618a9b1fab0e73a0d9ca5df16da9ab8e8,0,1,-74
16:35:25,O72,497b7aeeecb607eeddf87aa31d3c2857226e939af544b3800758b83a,5,1,-74
16:35:25,O73,8f23018bf5723b611efae0cb4e6ee9b744c3ce9f79d8809ea384daf5,5,1,-74
16:35:25,O75,68d1dab78af16d01929bb2e5e6b870f95e3c8fc3a0ddee297a26abf6,3,4,-85
16:35:25,O73,3377110518ddc3d14851baaac2042c1e3f3a29f228f08fdc154ee32b,5,6,-87
16:35:25,O72,7fd57896faa07c8248f5b1fef5f143c0d0ed48e6b9e665787d9377f0,5,6,-88
16:35:27,O71,700e59ef722e1421046be38fd893a53cbb86be8a5a1604558274b9b7,0,11,-69
16:35:27,O74,d6f4917601daa227db313b7c301a381fa41fccac55f40079b8c42b6f,0,11,-69
16:35:27,O72,e41b8ece0280ee6b16e0d2cdaed938377fc1758409bde343fd305fb8,5,11,-69
16:35:27,O73,80b0f72033122ef0e6ffad93f36d3dbafb36840f6d21dc2c485a288c,5,11,-69
16:35:27,O71,be9dab4237cee3fb190255ec04c3d59e92fd18d80d602169b72a3e33,0,1,-74
16:35:27,O74,bd8a30214688a2845435eeb618a9b1fab0e73a0d9ca5df16da9ab8e8,0,1,-74
16:35:27,O72,497b7aeeecb607eeddf87aa31d3c2857226e939af544b3800758b83a,5,1,-74
16:35:27,O73,8f23018bf5723b611efae0cb4e6ee9b744c3ce9f79d8809ea384daf5,5,1,-74
16:35:27,O75,68d1dab78af16d01929bb2e5e6b870f95e3c8fc3a0ddee297a26abf6,3,4,-85
16:35:29,O71,700e59ef722e1421046be38fd893a53cbb86be8a5a1604558274b9b7,0,11,-69
16:35:29,O74,d6f4917601daa227db313b7c301a381fa41fccac55f40079b8c42b6f,0,11,-69
16:35:29,O72,e41b8ece0280ee6b16e0d2cdaed938377fc1758409bde343fd305fb8,5,11,-69
16:35:29,O73,80b0f72033122ef0e6ffad93f36d3dbafb36840f6d21dc2c485a288c,5,11,-69
16:35:29,O72,497b7aeeecb607eeddf87aa31d3c2857226e939af544b3800758b83a,5,1,-73
16:35:29,O75,68d1dab78af16d01929bb2e5e6b870f95e3c8fc3a0ddee297a26abf6,3,4,-85
16:35:31,O71,700e59ef722e1421046be38fd893a53cbb86be8a5a1604558274b9b7,0,11,-69
16:35:31,O74,d6f4917601daa227db313b7c301a381fa41fccac55f40079b8c42b6f,0,11,-69
16:35:31,O72,e41b8ece0280ee6b16e0d2cdaed938377fc1758409bde343fd305fb8,5,11,-69
16:35:31,O73,80b0f72033122ef0e6ffad93f36d3dbafb36840f6d21dc2c485a288c,5,11,-69
16:35:31,O71,be9dab4237cee3fb190255ec04c3d59e92fd18d80d602169b72a3e33,0,1,-74
16:35:31,O74,bd8a30214688a2845435eeb618a9b1fab0e73a0d9ca5df16da9ab8e8,0,1,-74
16:35:31,O72,497b7aeeecb607eeddf87aa31d3c2857226e939af544b3800758b83a,5,1,-74
16:35:31,O73,8f23018bf5723b611efae0cb4e6ee9b744c3ce9f79d8809ea384daf5,5,1,-74
16:35:31,O72,7fd57896faa07c8248f5b1fef5f143c0d0ed48e6b9e665787d9377f0,5,6,-86
16:35:31,O71,bcff0d0aea46e20a6b4d08a665418ff68a837dd446399689ee42a169,0,6,-87
16:35:31,O74,1539293994a7dc4106a161294ea0af461c3d94d7181c800183c4aaf7,0,6,-87
16:35:31,O73,3377110518ddc3d14851baaac2042c1e3f3a29f228f08fdc154ee32b,5,6,-87
16:35:33,O71,700e59ef722e1421046be38fd893a53cbb86be8a5a1604558274b9b7,0,11,-69
16:35:33,O74,d6f4917601daa227db313b7c301a381fa41fccac55f40079b8c42b6f,0,11,-69
16:35:33,O72,e41b8ece0280ee6b16e0d2cdaed938377fc1758409bde343fd305fb8,5,11,-69
16:35:33,O73,80b0f72033122ef0e6ffad93f36d3dbafb36840f6d21dc2c485a288c,5,11,-69
16:35:33,O71,bcff0d0aea46e20a6b4d08a665418ff68a837dd446399689ee42a169,0,6,-86
16:35:33,O74,1539293994a7dc4106a161294ea0af461c3d94d7181c800183c4aaf7,0,6,-86
16:35:35,O74,d6f4917601daa227db313b7c301a381fa41fccac55f40079b8c42b6f,0,11,-68
16:35:35,O73,80b0f72033122ef0e6ffad93f36d3dbafb36840f6d21dc2c485a288c,5,11,-68
16:35:35,O71,700e59ef722e1421046be38fd893a53cbb86be8a5a1604558274b9b7,0,11,-69
16:35:35,O72,e41b8ece0280ee6b16e0d2cdaed938377fc1758409bde343fd305fb8,5,11,-69
16:35:35,O71,be9dab4237cee3fb190255ec04c3d59e92fd18d80d602169b72a3e33,0,1,-75
16:35:35,O74,bd8a30214688a2845435eeb618a9b1fab0e73a0d9ca5df16da9ab8e8,0,1,-75
16:35:35,O72,497b7aeeecb607eeddf87aa31d3c2857226e939af544b3800758b83a,5,1,-75
16:35:35,O73,8f23018bf5723b611efae0cb4e6ee9b744c3ce9f79d8809ea384daf5,5,1,-75
16:35:35,O75,68d1dab78af16d01929bb2e5e6b870f95e3c8fc3a0ddee297a26abf6,3,4,-85
16:35:35,O71,bcff0d0aea46e20a6b4d08a665418ff68a837dd446399689ee42a169,0,6,-86
16:35:35,O74,1539293994a7dc4106a161294ea0af461c3d94d7181c800183c4aaf7,0,6,-86
16:35:35,O72,7fd57896faa07c8248f5b1fef5f143c0d0ed48e6b9e665787d9377f0,5,6,-86
16:35:35,O73,3377110518ddc3d14851baaac2042c1e3f3a29f228f08fdc154ee32b,5,6,-87
16:35:37,O71,700e59ef722e1421046be38fd893a53cbb86be8a5a1604558274b9b7,0,11,-69
16:35:37,O74,d6f4917601daa227db313b7c301a381fa41fccac55f40079b8c42b6f,0,11,-69
16:35:37,O72,e41b8ece0280ee6b16e0d2cdaed938377fc1758409bde343fd305fb8,5,11,-69
16:35:37,O73,80b0f72033122ef0e6ffad93f36d3dbafb36840f6d21dc2c485a288c,5,11,-69
16:35:37,O72,497b7aeeecb607eeddf87aa31d3c2857226e939af544b3800758b83a,5,1,-74
16:35:37,O71,be9dab4237cee3fb190255ec04c3d59e92fd18d80d602169b72a3e33,0,1,-75
16:35:37,O74,bd8a30214688a2845435eeb618a9b1fab0e73a0d9ca5df16da9ab8e8,0,1,-75
16:35:37,O73,8f23018bf5723b611efae0cb4e6ee9b744c3ce9f79d8809ea384daf5,5,1,-75
16:35:37,O75,68d1dab78af16d01929bb2e5e6b870f95e3c8fc3a0ddee297a26abf6,3,4,-85
16:35:37,O74,1539293994a7dc4106a161294ea0af461c3d94d7181c800183c4aaf7,0,6,-86
16:35:37,O72,7fd57896faa07c8248f5b1fef5f143c0d0ed48e6b9e665787d9377f0,5,6,-86
16:35:37,O71,bcff0d0aea46e20a6b4d08a665418ff68a837dd446399689ee42a169,0,6,-87
16:35:37,O73,3377110518ddc3d14851baaac2042c1e3f3a29f228f08fdc154ee32b,5,6,-87
16:35:39,O71,700e59ef722e1421046be38fd893a53cbb86be8a5a1604558274b9b7,0,11,-69
16:35:39,O74,d6f4917601daa227db313b7c301a381fa41fccac55f40079b8c42b6f,0,11,-69
16:35:39,O72,e41b8ece0280ee6b16e0d2cdaed938377fc1758409bde343fd305fb8,5,11,-69
16:35:39,O73,80b0f72033122ef0e6ffad93f36d3dbafb36840f6d21dc2c485a288c,5,11,-69
16:35:39,O72,497b7aeeecb607eeddf87aa31d3c2857226e939af544b3800758b83a,5,1,-73
16:35:39,O71,be9dab4237cee3fb190255ec04c3d59e92fd18d80d602169b72a3e33,0,1,-74
16:35:39,O74,bd8a30214688a2845435eeb618a9b1fab0e73a0d9ca5df16da9ab8e8,0,1,-74
16:35:39,O73,8f23018bf5723b611efae0cb4e6ee9b744c3ce9f79d8809ea384daf5,5,1,-74
16:35:39,O75,68d1dab78af16d01929bb2e5e6b870f95e3c8fc3a0ddee297a26abf6,3,4,-84
16:35:39,O71,bcff0d0aea46e20a6b4d08a665418ff68a837dd446399689ee42a169,0,6,-86
16:35:39,O74,1539293994a7dc4106a161294ea0af461c3d94d7181c800183c4aaf7,0,6,-86
16:35:39,O73,3377110518ddc3d14851baaac2042c1e3f3a29f228f08fdc154ee32b,5,6,-86
16:35:39,O72,7fd57896faa07c8248f5b1fef5f143c0d0ed48e6b9e665787d9377f0,5,6,-87
16:35:41,O71,700e59ef722e1421046be38fd893a53cbb86be8a5a1604558274b9b7,0,11,-69
16:35:41,O74,d6f4917601daa227db313b7c301a381fa41fccac55f40079b8c42b6f,0,11,-69
16:35:41,O72,e41b8ece0280ee6b16e0d2cdaed938377fc1758409bde343fd305fb8,5,11,-69
16:35:41,O73,80b0f72033122ef0e6ffad93f36d3dbafb36840f6d21dc2c485a288c,5,11,-69
16:35:41,O71,be9dab4237cee3fb190255ec04c3d59e92fd18d80d602169b72a3e33,0,1,-75
16:35:41,O74,bd8a30214688a2845435eeb618a9b1fab0e73a0d9ca5df16da9ab8e8,0,1,-75
16:35:41,O72,497b7aeeecb607eeddf87aa31d3c2857226e939af544b3800758b83a,5,1,-75
16:35:41,O73,8f23018bf5723b611efae0cb4e6ee9b744c3ce9f79d8809ea384daf5,5,1,-75
16:35:41,O71,bcff0d0aea46e20a6b4d08a665418ff68a837dd446399689ee42a169,0,6,-86
16:35:41,O74,1539293994a7dc4106a161294ea0af461c3d94d7181c800183c4aaf7,0,6,-86
16:35:41,O72,7fd57896faa07c8248f5b1fef5f143c0d0ed48e6b9e665787d9377f0,5,6,-87
16:35:41,O73,3377110518ddc3d14851baaac2042c1e3f3a29f228f08fdc154ee32b,5,6,-87
16:35:43,O71,700e59ef722e1421046be38fd893a53cbb86be8a5a1604558274b9b7,0,11,-69
16:35:43,O74,d6f4917601daa227db313b7c301a381fa41fccac55f40079b8c42b6f,0,11,-69
